x,y,z
1.798748254776001,0.6370778679847717,0.225
1.8,0.6,0.225
1.8,0.6,0.45
1.75,0.6500000000000001,0.45
1.75,0.55,0.45
1.75,0.4500000000000002,0.45
1.75,0.3500000000000001,0.45
1.75,0.2500000000000002,0.45
1.65,0.2500000000000002,0.45
1.5499999999999998,0.2500000000000002,0.45
1.4500000000000002,0.2500000000000002,0.45
1.35,0.2500000000000002,0.45
1.25,0.2500000000000002,0.45
1.15,0.2500000000000002,0.45
1.0499999999999998,0.2500000000000002,0.45
0.9500000000000002,0.2500000000000002,0.45
0.8500000000000001,0.2500000000000002,0.45
0.7500000000000002,0.2500000000000002,0.45
0.6500000000000001,0.2500000000000002,0.45
0.55,0.2500000000000002,0.45
0.4500000000000002,0.2500000000000002,0.45
0.3500000000000001,0.2500000000000002,0.45
0.2500000000000002,0.2500000000000002,0.45
0.15000000000000013,0.2500000000000002,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15,0.25,0.45
0.15000000000000013,0.2500000000000002,0.45
0.050000000000000044,0.2500000000000002,0.45
-0.04999999999999993,0.2500000000000002,0.45
-0.1499999999999999,0.2500000000000002,0.45
-0.2499999999999999,0.2500000000000002,0.45
-0.34999999999999987,0.2500000000000002,0.45
-0.44999999999999996,0.2500000000000002,0.45
-0.55,0.2500000000000002,0.45
-0.55,0.15000000000000013,0.45
-0.55,0.050000000000000044,0.45
-0.55,-0.04999999999999993,0.45
-0.55,-0.1499999999999999,0.45
-0.55,-0.2499999999999999,0.45
-0.55,-0.34999999999999987,0.45
-0.6,-0.3,0.45
-0.6,-0.3,0.225
-0.6,-0.3,0.0
